ID;Stress;Resolucao;UF;Cidade;Origem_reclamacao;Data_reclamacao;Data_primeira_interacao;Problemas;Nota;Retorno_negocio;Quantidade_interacoes;Data_criacao_ultima_interacao;tempo_espera_primeira;tempo_total_atendimento;dia_semana_reclamacao;dia_semana_primeira_interacao;dia_semana_ultima_interacao;ano_reclamacao;ano_primeira_interacao;ano_ultima_interacao;dia_reclamacao;dia_primeira_interacao;dia_ultima_interacao;mes_reclamacao;mes_primeira_interacao;mes_ultima_interacao;hora_reclamacao;hora_primeira_interacao;hora_ultima_interacao;min_reclamacao;min_primeira_interacao;min_ultima_interacao;grupo_notas
92717803;62,77239213;1;13;5;2;2019-06-25 23:51:23;2019-06-26 10:59:27;44;7;0;2;2019-07-01 19:03:46;668,0666666666667;8352,383333333333;1;2;0;2019;2019;2019;25;26;1;6;6;7;23;10;19;51;59;3;1
92509361;62,58227382;1;20;59;1;2019-06-18 09:17:17;2019-06-19 16:30:58;9;5;0;2;2019-06-27 16:49:08;1873,6833333333334;13411,85;1;2;3;2019;2019;2019;18;19;27;6;6;6;9;16;16;17;30;49;0
92517351;38,34168692;1;8;9;1;2019-06-18 12:05:05;2019-06-18 12:23:37;37;2;0;3;2019-06-21 17:21:50;18,533333333333335;4636,75;1;1;4;2019;2019;2019;18;18;21;6;6;6;12;12;17;5;23;21;0
92518107;59,22667672;1;5;32;1;2019-06-18 12:22:43;2019-06-18 16:27:18;14;10;1;2;2019-06-25 18:44:54;244,58333333333334;10462,183333333332;1;1;1;2019;2019;2019;18;18;25;6;6;6;12;16;18;22;27;44;2
92519057;59,12084005;1;20;163;2;2019-06-18 12:46:35;2019-06-25 15:35:50;36;8;0;2;2019-07-02 11:16:46;10249,25;20070,183333333334;1;1;1;2019;2019;2019;18;25;2;6;6;7;12;15;11;46;35;16;2
92519755;37,45199132;0;14;39;2;2019-06-18 13:04:27;2019-06-18 13:42:22;18;0;0;2;2019-06-21 14:03:53;37,916666666666664;4379,433333333333;1;1;4;2019;2019;2019;18;18;21;6;6;6;13;13;14;4;42;3;0
92520069;39,35047727;1;20;163;2;2019-06-18 13:12:21;2019-06-19 13:02:09;33;2;0;4;2019-06-27 13:47:20;1429,8;12994,983333333334;1;2;3;2019;2019;2019;18;19;27;6;6;6;13;13;13;12;2;47;0
92521163;68,55031158;1;10;124;1;2019-06-18 13:38:35;2019-06-18 16:20:26;34;10;1;2;2019-06-18 17:52:34;161,85;253,98333333333332;1;1;1;2019;2019;2019;18;18;18;6;6;6;13;16;17;38;20;52;2
92524415;57,94881541;0;17;101;2;2019-06-18 14:55:59;2019-06-19 11:04:14;41;0;0;2;2019-06-19 12:46:29;1208,25;1310,5;1;2;2;2019;2019;2019;18;19;19;6;6;6;14;11;12;55;4;46;0
92269524;72,6372925;0;17;118;0;2019-06-10 02:36:00;2019-06-11 11:50:38;18;0;0;2;2019-06-20 13:57:25;1994,6333333333334;15081,416666666666;0;1;3;2019;2019;2019;10;11;20;6;6;6;2;11;13;36;50;57;0
92075247;63,86773972;0;6;83;2;2019-06-03 02:22:33;2019-06-07 16:25:18;14;0;0;2;2019-06-25 01:32:42;6602,75;31630,15;0;4;1;2019;2019;2019;3;7;25;6;6;6;2;16;1;22;25;32;0
92076209;56,86826836;1;8;169;1;2019-06-03 08:08:21;2019-06-04 09:42:27;26;8;1;2;2019-06-06 15:39:13;1534,1;4770,866666666667;0;1;3;2019;2019;2019;3;4;6;6;6;6;8;9;15;8;42;39;2
92168575;34,12195136;1;15;47;2;2019-06-05 16:17:38;2019-06-05 17:17:58;25;9;1;2;2019-06-05 18:20:52;60,333333333333336;123,23333333333333;2;2;2;2019;2019;2019;5;5;5;6;6;6;16;17;18;17;17;20;2
92234803;55,18843502;1;20;77;1;2019-06-07 18:27:58;2019-06-10 16:28:12;28;10;1;2;2019-06-14 10:21:56;4200,233333333334;9593,966666666667;4;0;4;2019;2019;2019;7;10;14;6;6;6;18;16;10;27;28;21;2
92276379;53,57301877;1;20;149;2;2019-06-10 10:44:34;2019-06-12 10:24:49;47;10;1;2;2019-06-18 11:12:25;2860,25;11547,85;0;2;1;2019;2019;2019;10;12;18;6;6;6;10;10;11;44;24;12;2
91995337;67,77964603;1;20;50;1;2019-05-31 16:29:56;2019-06-03 15:43:59;10;5;0;2;2019-06-11 15:16:27;4274,05;15766,516666666666;4;0;1;2019;2019;2019;31;3;11;5;6;6;16;15;15;29;43;16;0
92031001;67,84410475;1;15;155;3;2019-06-06 09:14:12;2019-06-12 10:36:08;48;5;0;2;2019-06-13 21:10:46;8721,933333333332;10796,566666666668;3;2;3;2019;2019;2019;6;12;13;6;6;6;9;10;21;14;36;10;0
92031411;64,07875746;1;20;152;2;2019-06-03 12:22:33;2019-06-03 14:05:27;11;4;1;2;2019-06-07 11:09:18;102,9;5686,75;0;0;4;2019;2019;2019;3;3;7;6;6;6;12;14;11;22;5;9;0
92032160;69,96923784;1;11;63;0;2019-05-31 13:43:55;2019-06-06 12:31:50;42;10;1;2;2019-06-07 16:05:09;8567,916666666666;10221,233333333334;4;3;4;2019;2019;2019;31;6;7;5;6;6;13;12;16;43;31;5;2
92033695;41,19548629;0;20;163;2;2019-05-31 14:25:34;2019-05-31 15:08:36;21;0;0;3;2019-06-14 09:09:55;43,03333333333333;19844,35;4;4;4;2019;2019;2019;31;31;14;5;5;6;14;15;9;25;8;9;0
92037651;63,12229754;1;20;135;1;2019-05-31 16:14:30;2019-06-03 12:14:46;45;5;0;2;2019-06-24 14:13:53;4080,266666666667;34439,38333333333;4;0;0;2019;2019;2019;31;3;24;5;6;6;16;12;14;14;14;13;0
92038491;69,31872501;1;20;41;1;2019-05-31 16:37:44;2019-06-03 12:47:52;4;10;1;4;2019-06-14 06:43:46;4090,133333333333;19566,033333333333;4;0;4;2019;2019;2019;31;3;14;5;6;6;16;12;6;37;47;43;2
92039693;57,70403958;1;20;163;1;2019-05-31 17:15:00;2019-06-01 08:26:28;8;8;0;2;2019-06-17 13:36:15;911,4666666666667;24261,25;4;5;0;2019;2019;2019;31;1;17;5;6;6;17;8;13;15;26;36;2
92039959;65,26060518;1;11;2;1;2019-05-31 17:22:40;2019-06-05 11:53:54;23;8;0;2;2019-07-01 12:46:32;6871,233333333334;44363,86666666667;4;2;0;2019;2019;2019;31;5;1;5;6;7;17;11;12;22;53;46;2
92040063;70,2610256;1;20;45;2;2019-05-31 17:25:46;2019-06-03 13:58:53;5;4;1;2;2019-06-24 09:51:28;4113,116666666667;34105,7;4;0;0;2019;2019;2019;31;3;24;5;6;6;17;13;9;25;58;51;0
92042701;34,58891005;1;5;174;2;2019-05-31 19:06:58;2019-06-01 12:24:44;44;6;0;2;2019-06-27 14:22:55;1037,7666666666667;38595,95;4;5;3;2019;2019;2019;31;1;27;5;6;6;19;12;14;6;24;22;0
92042783;59,6840468;1;15;132;2;2019-05-31 19:10:48;2019-06-05 11:32:47;13;10;1;2;2019-06-26 18:24:21;6741,983333333334;37393,55;4;2;2;2019;2019;2019;31;5;26;5;6;6;19;11;18;10;32;24;2
